,iso2c,country,year,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,NY.ADJ.DRES.GN.ZS,NY.ADJ.DFOR.GN.ZS,AG.LND.AGRI.ZS,NV.AGR.TOTL.ZS,ER.H2O.FWTL.ZS,SI.SPR.PCAP.ZG,SH.DTH.COMM.ZS,SL.TLF.0714.ZS,EN.ATM.CO2E.PC,CC.EST,EN.CLC.CDDY.XD,EN.CLC.MDAT.ZS,IC.BUS.EASE.XQ,EG.ELC.COAL.ZS,EG.IMP.CONS.ZS,EG.EGY.PRIM.PP.KD,EG.USE.PCAP.KG.OE,SP.DYN.TFRT.IN,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,EG.USE.COMM.FO.ZS,NY.GDP.MKTP.KD.ZG,EN.CLC.GHGR.MT.CE,SI.POV.GINI,GE.EST,SE.XPD.TOTL.GB.ZS,EN.CLC.HEAT.XD,SH.MED.BEDS.ZS,SI.DST.FRST.20,IT.NET.USER.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,EN.MAM.THRD.NO,EN.CLC.PRCP.XD,EN.CLC.SPEI.XD,SH.DYN.MORT,SM.POP.NETM,IP.PAT.RESD,SH.H2O.SMDW.ZS,SH.STA.SMSS.ZS,EN.ATM.PM25.MC.M3,PV.EST,SP.POP.65UP.TO.ZS,EN.POP.DNST,SI.POV.NAHC,SH.STA.OWAD.ZS,SN.ITK.DEFC.ZS,SG.GEN.PARL.ZS,SL.TLF.CACT.FM.ZS,RQ.EST,EG.ELC.RNEW.ZS,EG.FEC.RNEW.ZS,GB.XPD.RSDV.GD.ZS,RL.EST,SE.PRM.ENRR,SE.ENR.PRSC.FM.ZS,IP.JRN.ARTC.SC,IC.LGL.CRED.XQ,ER.PTD.TOTL.ZS,SL.UEM.TOTL.ZS,SP.UWT.TFRT,VA.EST,SE.XPD.TOTL.GD.ZS,iso3c,region,capital,longitude,latitude,income,lending
11,1A,Arab World,2012,83.12030269,87.07057557,12.80718104,0.061267631,36.47229995,5.008647338,NA,NA,NA,NA,4.837779594,NA,NA,NA,NA,1.235651316,-180.6380249,4.879857741,1848.883591,3.450653635,111.1085643,1.706957034,95.01932949,6.656678452,NA,NA,NA,NA,NA,1.158382671,NA,30.37007531,51.10009447,70.7038266,73.7217,NA,NA,NA,40.25993841,47229,NA,NA,51.22511242,53.29726985,NA,4.1752511,33.06766985,NA,59.17508431,10.80944155,14.87201835,29.46536545,NA,3.481218522,4.167045031,NA,NA,97.51347,0.92969,32155.51542,NA,NA,10.22665287,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
12,1A,Arab World,2010,82.3681005,86.00761988,9.958297881,0.052362,36.42599021,5.17587407,NA,NA,24.5133417,NA,4.636813439,NA,NA,NA,NA,1.235532796,-178.6095658,4.857822059,1772.404084,3.47038388,110.8494409,1.7192695,95.89111881,4.77207865,NA,NA,NA,NA,NA,1.529522861,NA,24.94776184,50.77348694,70.34991623,70.76441,NA,NA,NA,42.73769379,NA,1551,NA,50.1548329,53.78700138,NA,4.133051273,31.59402067,NA,57.79370265,9.596599773,11.92392572,28.90334738,NA,3.854009912,4.839533843,NA,NA,96.01291,0.92543,24677.39689,NA,NA,9.176461676,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
13,1A,Arab World,2006,79.85168106,84.11696145,13.66241845,0.034094226,36.48922135,5.797304838,NA,NA,NA,NA,4.285719182,NA,NA,NA,NA,1.941304556,-238.9090897,4.639787365,1550.244389,3.508948179,106.6194944,1.693576654,95.44927661,6.49629421,NA,NA,NA,NA,NA,1.652517686,NA,11.6967073,49.77607153,69.43945919,69.65244293,NA,NA,NA,49.62075025,NA,NA,NA,47.40490486,NA,NA,4.121405909,28.69994022,NA,54.98580081,10.70335368,9.357819225,27.78532921,NA,4.119493989,6.180542878,NA,NA,93.54512787,0.917309999,14651.51962,NA,NA,10.37505761,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
14,1A,Arab World,2015,84.17159902,89.13012075,6.247169236,0.095378312,36.62475947,5.494581916,NA,NA,20.37907956,NA,NA,NA,NA,NA,NA,1.519196492,NA,4.753832823,NA,3.365221092,NA,1.688517408,NA,3.307618148,NA,NA,NA,NA,NA,NA,NA,43.69633487,50.89120454,71.24957141,75.11764,NA,NA,NA,37.27309421,NA,2910,NA,52.5445507,60.40681347,NA,4.301047273,35.25689695,NA,61.19992641,11.19391719,18.77915119,30.08088601,NA,2.920701686,4.094036566,NA,NA,96.22816,0.93496,41224.22398,1.409090909,NA,10.21207755,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
15,1A,Arab World,1998,NA,NA,5.76514618,0.101049803,35.7112798,9.507757806,NA,NA,NA,NA,3.349967185,NA,NA,NA,NA,1.83769081,-291.7700012,4.6201548,1297.943007,4.05398058,80.76654141,1.692154943,94.85585825,5.266769785,NA,NA,NA,NA,NA,NA,NA,0.270604169,49.52602262,67.21809146,63.11761856,NA,NA,NA,64.10591282,NA,777,NA,NA,NA,NA,3.949105049,24.08236969,NA,49.7079888,NA,3.474235372,26.23028054,NA,4.809929674,6.757473332,NA,NA,86.8734436,0.857179999,NA,NA,NA,12.17029354,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
16,1A,Arab World,2000,73.70249524,NA,10.42952102,0.031115986,36.31059636,7.473839864,NA,NA,32.24020961,NA,3.703857081,NA,NA,NA,NA,1.923164756,-296.4366459,4.506724414,1284.964169,3.845712512,83.36197767,1.682036052,94.99382528,5.480192454,NA,NA,NA,NA,NA,1.597911047,NA,1.165887243,49.87975184,67.80059112,65.11592865,NA,NA,NA,60.39189869,NA,1124,NA,45.1365698,53.06307567,NA,4.018085025,25.12980178,NA,51.00109413,11.03344332,3.768103117,26.89236752,NA,4.46423747,6.609618379,NA,NA,88.6682663,0.87729001,NA,NA,NA,12.75788834,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
17,1A,Arab World,2003,77.12046362,76.65349815,9.580053767,0.0496368,36.41664963,7.48365911,NA,NA,NA,NA,3.796467412,NA,NA,NA,NA,2.166988095,-256.8616511,4.808529121,1379.588735,3.626459898,95.20255613,1.685179963,95.19202299,5.319753855,NA,NA,NA,NA,NA,1.574062978,NA,3.686682404,49.51110901,68.61050538,70.1877594,NA,NA,NA,54.89139542,NA,874,NA,45.62677148,NA,NA,4.091577541,26.80081193,NA,52.97619645,10.85037917,6.043917526,26.91680804,NA,3.943509658,6.381948158,NA,NA,91.65731049,0.903349996,10820.88702,NA,NA,12.50698193,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
18,1A,Arab World,2001,74.94485985,NA,8.135367279,0.036248871,36.30658227,7.907519922,NA,NA,NA,NA,3.607956149,NA,NA,NA,NA,2.401399195,-267.7941443,4.723778429,1351.659471,3.760436808,83.66008135,1.683075647,95.19902384,1.613617186,NA,NA,NA,NA,NA,1.639466764,NA,1.590368591,49.61022707,68.07251852,66.33673096,NA,NA,NA,58.53684014,NA,831,NA,45.23079103,NA,NA,4.046713194,25.67165986,NA,51.63987974,10.80176913,4.610597637,27.03119766,NA,4.617561634,6.428216218,NA,NA,89.46537018,0.886300027,NA,NA,NA,12.55773451,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
19,1A,Arab World,1999,NA,NA,7.364179333,0.049179165,36.32958095,8.885845987,NA,NA,NA,NA,3.328341058,NA,NA,NA,NA,1.610034531,-282.5606311,4.550970895,1282.566212,3.943607192,81.44238339,1.687095963,94.64784845,1.796395127,NA,NA,NA,NA,NA,NA,NA,0.615844606,49.90090131,67.51768895,64.17577362,NA,NA,NA,62.22694739,NA,809,NA,NA,NA,NA,3.98529535,24.60019887,NA,50.36283255,NA,3.623432089,26.75254392,NA,4.846387134,6.744100456,NA,NA,88.01454926,0.868420005,NA,NA,NA,12.34084247,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
20,1A,Arab World,2002,76.25806612,75.26256561,7.99430435,0.039765621,36.36950821,7.774573083,NA,NA,NA,NA,3.604612754,NA,NA,NA,NA,2.234762316,-238.0980056,4.891309731,1387.55357,3.68728068,90.02520561,1.684114311,94.78076732,0.586325148,NA,NA,NA,NA,NA,1.574799316,NA,2.72740392,49.3800061,68.34024599,67.52146912,NA,NA,NA,56.69500188,183214,991,NA,45.37607643,NA,NA,4.071438994,26.22642469,NA,52.2834335,10.78541145,6.132351922,26.53814704,NA,3.755548631,6.280437056,NA,NA,90.67297363,0.895259976,NA,NA,NA,12.59576377,NA,NA,NA,ARB,Aggregates,,,,Aggregates,Aggregates
21,1W,World,2004,52.06288186,80.12441966,NA,NA,37.65889686,4.424778923,NA,NA,NA,NA,4.414167571,NA,NA,NA,NA,39.3801858,-2.732500778,6.303115891,1739.057387,2.608401748,97.53821527,31.03136289,80.65153869,4.383460869,NA,NA,NA,NA,NA,NA,NA,14.10034903,68.73448303,68.65223707,82.45339966,NA,NA,NA,65.9,NA,896367,63.93015354,30.59816676,NA,NA,7.202567577,50.50136544,NA,32.6,14.9,15.89743916,67.56211036,NA,17.80971628,17.09722966,NA,NA,101.8789291,0.945850015,1305437.724,NA,NA,5.728088797,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
22,1W,World,2003,51.41249368,79.86122679,NA,NA,37.57433286,4.519109669,NA,NA,NA,NA,4.257699396,NA,NA,NA,NA,39.83135089,-2.433599437,6.364277587,1687.723444,2.6246761,93.83014174,31.06608993,80.55352271,2.909090876,NA,NA,NA,NA,NA,3.058460452,NA,12.21158037,68.8128233,68.32690082,81.94161987,NA,NA,NA,68.4,NA,857224,63.60940709,29.59817711,NA,NA,7.13068677,49.87497456,NA,32.1,15.1,15.17573878,67.62743897,NA,17.37855417,17.43409821,NA,NA,101.3847427,0.944739997,1185942.131,NA,NA,5.919060892,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
23,1W,World,2005,52.67451177,80.20709632,NA,NA,37.66301526,4.052074627,NA,NA,NA,NA,4.528145597,NA,NA,NA,NA,39.85590955,-3.198112733,6.18529597,1766.276194,2.587848416,99.94671194,30.99623804,80.72447732,3.868501206,NA,NA,NA,NA,NA,2.879349887,NA,15.70287813,68.64095461,68.92020377,82.41014862,NA,NA,NA,63,NA,966272,64.24245883,31.45184067,48.36022341,NA,7.257780423,51.13127044,NA,33.1,14.5,16.48182213,67.60952781,NA,17.97509024,17.04344248,NA,NA,102.1932602,0.95043999,1477412.908,NA,NA,5.603405019,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
24,1W,World,2006,53.4202477,81.19753824,NA,NA,37.54641125,3.802666473,NA,NA,NA,NA,4.63601135,NA,NA,NA,NA,40.51456581,-3.163015494,6.039419985,1795.802514,2.576971248,102.6497005,30.97123082,80.83571448,4.333385663,NA,NA,NA,NA,NA,NA,NA,17.48317254,68.35570928,69.26229264,82.41246796,NA,NA,NA,60.4,NA,998674,64.56688412,32.73649533,NA,NA,7.327741983,51.76903332,NA,33.6,13.8,16.97767633,67.4491942,NA,18.11623199,17.12126069,NA,NA,102.2821426,0.954230011,1563235.315,NA,NA,5.242479719,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
25,1W,World,2014,58.35211526,85.58790436,NA,NA,37.65267937,3.579775194,NA,NA,NA,NA,4.980706852,NA,NA,NA,NA,40.48804654,-2.459859394,5.283792563,1922.487664,2.465598049,125.6018242,30.76956804,80.91140772,2.839940064,NA,NA,NA,NA,NA,NA,NA,39.85855262,66.88910564,71.74196505,85.28372,NA,NA,NA,43.8,NA,1713296,68.94266213,41.57647722,45.93925259,NA,8.054698203,56.97637451,NA,37.8,10.8,22.18443809,66.65342901,NA,22.40725845,17.87018404,NA,NA,102.7814,0.99382,2299992.164,4.80952381,NA,5.190535637,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
26,1W,World,2001,50.21034012,78.02286076,NA,NA,37.78330345,4.761727209,NA,NA,NA,NA,4.080521819,NA,NA,NA,NA,38.44754518,-3.267566458,6.417250438,1635.76642,2.666146722,89.41952243,31.13581978,80.03830701,1.94530935,NA,NA,NA,NA,NA,NA,NA,8.059066274,69.18007372,67.82172841,81.01631927,NA,NA,NA,73.8,NA,833279,61.70454247,28.39666371,NA,NA,6.958465818,48.631931,NA,31.2,14.9,14.08638571,67.58824412,NA,17.86959113,17.60150667,NA,NA,99.56455994,0.924969971,NA,NA,NA,5.553601299,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
27,1W,World,2008,54.7571776,82.19080463,NA,NA,37.5080747,3.733977394,NA,NA,NA,NA,4.762078913,NA,NA,NA,NA,40.63461238,-2.95701033,5.794957148,1828.791285,2.554918459,110.2787033,30.92260522,81.05485546,1.8538035,NA,NA,NA,NA,NA,NA,NA,22.95874089,67.89928308,69.8991758,83.41059875,NA,NA,NA,55.6,NA,1081135,65.19862864,34.85084212,NA,NA,7.434785271,53.06549226,NA,34.6,12.6,18.44565439,67.16256965,NA,18.55474759,17.03502908,NA,NA,103.4181671,0.965200007,1747433.666,NA,NA,4.946892824,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
28,1W,World,2017,NA,88.84863806,NA,NA,NA,3.418853898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.431584663,NA,NA,NA,3.16540231,NA,NA,NA,NA,NA,NA,NA,49.72307908,67.00308412,72.38300866,86.12593,3434,NA,NA,39.8,0,2161610,70.64488009,44.98702193,45.52300056,NA,8.645841534,58.97696677,NA,NA,10.8,23.65062513,66.99675877,NA,NA,NA,NA,NA,103.6537,0.99767,NA,5.352631579,14.48814759,5.048580597,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
29,1W,World,2002,50.81951962,79.27530153,NA,NA,37.6872412,4.648419756,NA,NA,NA,NA,4.088131012,NA,NA,NA,NA,38.75108611,-1.943849955,6.373293723,1648.514797,2.643537261,91.22229915,31.10120443,80.0570412,2.192308948,NA,NA,NA,NA,NA,2.875971367,NA,10.52835563,69.01067212,68.07034502,81.41221619,NA,NA,NA,71.1,0,826280,62.83691799,28.65353598,NA,NA,7.045763019,49.25351592,NA,31.7,15.1,15.16407037,67.57656902,NA,17.78865441,17.61837319,NA,NA,99.84207153,0.92742002,NA,NA,NA,5.823286845,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
30,1W,World,2016,59.34322045,87.97685631,NA,NA,37.43073967,3.513752561,NA,NA,20.17716952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.445217484,NA,30.71642094,NA,2.565408958,NA,NA,NA,NA,NA,NA,NA,44.70369974,66.90130694,72.18217105,85.89491,NA,NA,NA,41.1,NA,2128628,70.10355722,43.86081968,45.1507745,NA,8.426887459,58.31042463,NA,38.9,10.7,23.02033477,66.83857946,NA,NA,NA,NA,NA,103.9504,0.99992,2296271.346,5.042105263,13.47769004,5.21524393,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
31,1W,World,2012,57.24694708,84.80937842,NA,NA,37.56137604,3.616314337,NA,NA,NA,NA,5.005068845,NA,NA,NA,NA,40.27716002,-2.733412954,5.585845875,1893.027655,2.489253882,119.4636164,30.81984683,81.16535015,2.512587218,NA,NA,NA,NA,NA,NA,NA,34.22538459,66.97526829,71.17171202,84.72603,NA,NA,NA,47.1,0,1441568,67.74304938,39.28730587,47.528763,NA,7.780943294,55.65086264,NA,36.7,11.3,20.75718787,66.59875367,NA,20.90153641,17.47623659,NA,NA,104.1734,0.97705,2129133.916,NA,NA,5.353330827,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
32,1W,World,2009,55.32774275,82.72175304,NA,NA,37.41055878,3.672690584,NA,NA,NA,NA,4.662155113,NA,NA,NA,NA,40.01759804,-2.891887649,5.778445072,1795.318563,2.534151167,111.7532994,30.89674808,80.61346858,-1.686308808,NA,NA,NA,NA,NA,NA,NA,25.37079429,67.61872817,70.24646274,83.72041321,NA,NA,NA,53.2,NA,1076267,65.85203367,35.94850991,NA,NA,7.493326066,53.71560633,NA,35.2,12.3,19.028457,67.1162458,NA,19.33418182,17.5116086,NA,NA,103.3007202,0.97220999,1859200.854,NA,NA,5.602664989,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
33,1W,World,2007,54.0653051,82.16860597,NA,NA,37.5291328,3.758530596,NA,NA,NA,NA,4.671144839,NA,NA,NA,NA,41.13753845,-2.202205628,5.884601366,1823.195086,2.56697577,106.1876493,30.94502979,81.19416166,4.217753408,NA,NA,NA,NA,NA,NA,NA,20.41170778,68.15859861,69.59194222,83.00002289,NA,NA,NA,57.9,0,1055546,64.88221,33.78364794,NA,NA,7.383531932,52.40904731,NA,34.1,13.1,17.87018288,67.37997352,NA,17.88139672,16.90830508,NA,NA,103.0562592,0.958469987,1655917.081,NA,NA,4.940264919,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
34,1W,World,1998,NA,78.40524177,NA,NA,37.7335386,5.455459548,NA,NA,NA,NA,4.049531349,NA,NA,NA,NA,37.82200438,-4.061710566,6.74619383,1610.651086,2.7459732,83.71883237,31.27943768,79.75976103,2.55621151,NA,NA,NA,NA,NA,NA,NA,3.136401901,69.58757701,67.08678696,80.20787811,NA,NA,NA,81.2,NA,706289,NA,NA,NA,NA,6.744326553,46.75759509,NA,29.9,NA,13.06727802,67.35126105,NA,19.03618413,17.92092239,NA,NA,97.69268799,0.913030028,NA,NA,NA,5.487484438,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
35,1W,World,2013,57.84982267,85.11273127,NA,NA,37.54153222,3.668349033,NA,NA,NA,NA,4.997599015,NA,NA,NA,NA,41.04493004,-3.067184777,5.486149531,1896.061592,2.472890321,123.7710286,30.79467396,80.94272897,2.651944363,NA,NA,NA,NA,NA,NA,NA,36.76634273,66.94583933,71.46225702,84.90292,NA,NA,NA,45.4,NA,1625451,68.34627619,40.42944455,47.94310068,NA,7.908295001,56.31070798,NA,37.3,11.1,21.76572434,66.6253671,NA,21.71034584,17.69905686,NA,NA,104.0195,0.99176,2210064.962,4.682539683,NA,5.35402249,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
36,1W,World,2000,49.40514399,78.43558411,NA,NA,37.80422536,4.852797662,NA,NA,30.90569184,NA,4.037526326,NA,NA,NA,NA,38.63553112,-2.802948953,6.496388729,1636.505287,2.69586251,88.48502199,31.17069019,79.78384868,4.39462666,NA,NA,NA,NA,NA,NA,NA,6.733874745,69.41733648,67.54918887,80.77861786,NA,NA,NA,76.4,NA,824055,61.2543374,28.20485386,45.93214957,NA,6.874358615,48.00852503,NA,30.8,14.8,13.90517836,67.63153142,NA,18.33315487,17.8993922,NA,NA,98.76940155,0.921239972,NA,NA,NA,5.476817919,NA,NA,NA,WLD,Aggregates,,,,Aggregates,Aggregates
